year,sample_size,employment,members,covered,perc_mem,per_coverage,industry
2000,33339,25231.2545861667,1209.30440451667,1333.45681525,4.7928825,5.28494045,wholesale
2001,35360,25191.9785341916,1187.43846135833,1301.26054065833,4.71355766,5.16537651,wholesale
2002,38057,25204.7463251337,1143.75467345,1260.510169675,4.53785434,5.00108264,wholesale
2003,27201,18420.3377126249,1136.66922064167,1220.13640421667,6.17072954,6.62385448,wholesale
2004,26986,18847.2340760917,1041.03946548333,1122.068318925,5.52356615,5.95349073,wholesale
2005,27029,19100.58486995,1037.80502361667,1145.82341715833,5.43336793,5.99889196,wholesale
2006,26641,19349.4293012251,967.54515815,1038.862439325,5.00038079,5.36895655,wholesale
2007,25742,18998.779019,1000.39286995833,1087.712032325,5.26556409,5.72516806,wholesale
2008,25298,18748.5250905751,987.787161925001,1111.36310029167,5.2686125,5.92773631,wholesale
2009,24331,17953.0763219917,947.078370358335,1042.40732684167,5.27529865,5.80628812,wholesale
2010,24022,17914.2710116749,876.968732025,970.477095608334,4.89536374,5.41734062,wholesale
2011,23592,18118.15595655,874.765487808333,975.670564200001,4.82811555,5.38504347,wholesale
2012,23486,18312.5849931167,872.163299224999,978.825327,4.76264432,5.34509643,wholesale
2013,23042,18117.1779048167,848.490662333333,937.976346299999,4.6833489,5.1772762,wholesale
2014,23174,18498.375816825,782.200092116667,910.230960550001,4.22847978,4.92059923,wholesale
2015,22976,18925.981530425,886.834237183335,981.240204350001,4.68580313,5.18461987,wholesale
2016,22476,18625.0133169333,792.236018758332,899.611215216665,4.2536132,4.83012385,wholesale
2017,22127,18899.2193411084,849.317338624999,952.46434775,4.49392832,5.03970198,wholesale
2018,21271,18824.2754201,819.564849525,942.357727891667,4.35376577,5.00607714,wholesale
2019,19841,18209.5841456584,751.435538491667,873.582332758334,4.12659347,4.79737669,wholesale
2020,17598,17508.9144811,799.5702801,887.708504025,4.56664673,5.07003739,wholesale
2021,17849,18170.7540466,783.147231516668,894.391934233334,4.30993251,4.92215082,wholesale
